CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;28/08/2016;4;0,09;R;
ES0022000006459512WH;28/08/2016;5;0,088;R;
ES0022000006459512WH;28/08/2016;6;0,089;R;
ES0022000006459512WH;28/08/2016;7;0,088;R;
ES0022000006459512WH;28/08/2016;8;0,088;R;
ES0022000006459512WH;28/08/2016;9;0,49;R;
ES0022000006459512WH;28/08/2016;10;0,829;R;
ES0022000006459512WH;28/08/2016;11;0,262;R;
ES0022000006459512WH;28/08/2016;12;0,493;R;
ES0022000006459512WH;28/08/2016;13;0,264;R;
ES0022000006459512WH;28/08/2016;14;0,256;R;
ES0022000006459512WH;28/08/2016;15;0,716;R;
ES0022000006459512WH;28/08/2016;16;0,667;R;
ES0022000006459512WH;28/08/2016;17;0,523;R;
ES0022000006459512WH;28/08/2016;18;0,578;R;
ES0022000006459512WH;28/08/2016;19;0,405;R;
ES0022000006459512WH;28/08/2016;20;0,188;R;
ES0022000006459512WH;28/08/2016;21;0,26;R;
ES0022000006459512WH;28/08/2016;22;0,222;R;
ES0022000006459512WH;28/08/2016;23;0,227;R;
ES0022000006459512WH;28/08/2016;24;0,222;R;
ES0022000006459512WH;29/08/2016;1;0,229;R;
ES0022000006459512WH;29/08/2016;2;0,165;R;
ES0022000006459512WH;29/08/2016;3;0,127;R;
ES0022000006459512WH;29/08/2016;4;0,101;R;
ES0022000006459512WH;29/08/2016;5;0,096;R;
ES0022000006459512WH;29/08/2016;6;1,011;R;
ES0022000006459512WH;29/08/2016;7;0,66;R;
ES0022000006459512WH;29/08/2016;8;0,156;R;
ES0022000006459512WH;29/08/2016;9;0,111;R;
ES0022000006459512WH;29/08/2016;10;0,104;R;
ES0022000006459512WH;29/08/2016;11;0,103;R;
ES0022000006459512WH;29/08/2016;12;0,1;R;
ES0022000006459512WH;29/08/2016;13;0,099;R;
ES0022000006459512WH;29/08/2016;14;0,098;R;
ES0022000006459512WH;29/08/2016;15;0,099;R;
ES0022000006459512WH;29/08/2016;16;0,098;R;
ES0022000006459512WH;29/08/2016;17;0,102;R;
ES0022000006459512WH;29/08/2016;18;0,35;R;
ES0022000006459512WH;29/08/2016;19;0,21;R;
ES0022000006459512WH;29/08/2016;20;0,205;R;
ES0022000006459512WH;29/08/2016;21;0,173;R;
ES0022000006459512WH;29/08/2016;22;0,313;R;
ES0022000006459512WH;29/08/2016;23;0,374;R;
ES0022000006459512WH;29/08/2016;24;0,23;R;
ES0022000006459512WH;30/08/2016;1;0,221;R;
ES0022000006459512WH;30/08/2016;2;0,133;R;
ES0022000006459512WH;30/08/2016;3;0,117;R;
ES0022000006459512WH;30/08/2016;4;0,103;R;
ES0022000006459512WH;30/08/2016;5;0,1;R;
ES0022000006459512WH;30/08/2016;6;1,072;R;
ES0022000006459512WH;30/08/2016;7;0,65;R;
ES0022000006459512WH;30/08/2016;8;0,154;R;
ES0022000006459512WH;30/08/2016;9;0,051;R;
ES0022000006459512WH;30/08/2016;10;0,038;R;
ES0022000006459512WH;30/08/2016;11;0,091;R;
ES0022000006459512WH;30/08/2016;12;0,106;R;
ES0022000006459512WH;30/08/2016;13;0,102;R;
ES0022000006459512WH;30/08/2016;14;0,1;R;
ES0022000006459512WH;30/08/2016;15;0,1;R;
ES0022000006459512WH;30/08/2016;16;0,099;R;
ES0022000006459512WH;30/08/2016;17;0,099;R;
ES0022000006459512WH;30/08/2016;18;0,103;R;
ES0022000006459512WH;30/08/2016;19;0,098;R;
ES0022000006459512WH;30/08/2016;20;0,099;R;
ES0022000006459512WH;30/08/2016;21;0,856;R;
ES0022000006459512WH;30/08/2016;22;0,27;R;
ES0022000006459512WH;30/08/2016;23;0,226;R;
ES0022000006459512WH;30/08/2016;24;0,184;R;
ES0022000006459512WH;31/08/2016;1;0,128;R;
ES0022000006459512WH;31/08/2016;2;0,042;R;
ES0022000006459512WH;31/08/2016;3;0,105;R;
ES0022000006459512WH;31/08/2016;4;0,099;R;
ES0022000006459512WH;31/08/2016;5;0,097;R;
ES0022000006459512WH;31/08/2016;6;0,99;R;
ES0022000006459512WH;31/08/2016;7;0,339;R;
ES0022000006459512WH;31/08/2016;8;0,077;R;
ES0022000006459512WH;31/08/2016;9;0,06;R;
ES0022000006459512WH;31/08/2016;10;0,07;R;
ES0022000006459512WH;31/08/2016;11;0,107;R;
ES0022000006459512WH;31/08/2016;12;0,103;R;
ES0022000006459512WH;31/08/2016;13;0,102;R;
ES0022000006459512WH;31/08/2016;14;0,101;R;
ES0022000006459512WH;31/08/2016;15;0,101;R;
ES0022000006459512WH;31/08/2016;16;0,1;R;
ES0022000006459512WH;31/08/2016;17;0,1;R;
ES0022000006459512WH;31/08/2016;18;0,092;R;
ES0022000006459512WH;31/08/2016;19;0,088;R;
ES0022000006459512WH;31/08/2016;20;0,099;R;
ES0022000006459512WH;31/08/2016;21;0,094;R;
ES0022000006459512WH;31/08/2016;22;0,239;R;
ES0022000006459512WH;31/08/2016;23;0,218;R;
ES0022000006459512WH;31/08/2016;24;0,196;R;
ES0022000006459512WH;01/09/2016;1;0,168;R;
ES0022000006459512WH;01/09/2016;2;0,111;R;
ES0022000006459512WH;01/09/2016;3;0,093;R;
ES0022000006459512WH;01/09/2016;4;0,092;R;
ES0022000006459512WH;01/09/2016;5;0,07;R;
ES0022000006459512WH;01/09/2016;6;0,973;R;
ES0022000006459512WH;01/09/2016;7;0,507;R;
ES0022000006459512WH;01/09/2016;8;0,104;R;
ES0022000006459512WH;01/09/2016;9;0,118;R;
ES0022000006459512WH;01/09/2016;10;0,104;R;
ES0022000006459512WH;01/09/2016;11;0,101;R;
ES0022000006459512WH;01/09/2016;12;0,101;R;
ES0022000006459512WH;01/09/2016;13;0,099;R;
ES0022000006459512WH;01/09/2016;14;0,098;R;
ES0022000006459512WH;01/09/2016;15;0,099;R;
ES0022000006459512WH;01/09/2016;16;0,099;R;
ES0022000006459512WH;01/09/2016;17;0,098;R;
ES0022000006459512WH;01/09/2016;18;0,097;R;
ES0022000006459512WH;01/09/2016;19;0,105;R;
ES0022000006459512WH;01/09/2016;20;0,099;R;
ES0022000006459512WH;01/09/2016;21;0,343;R;
ES0022000006459512WH;01/09/2016;22;0,252;R;
ES0022000006459512WH;01/09/2016;23;0,202;R;
ES0022000006459512WH;01/09/2016;24;0,182;R;
ES0022000006459512WH;02/09/2016;1;0,147;R;
ES0022000006459512WH;02/09/2016;2;0,104;R;
ES0022000006459512WH;02/09/2016;3;0,095;R;
ES0022000006459512WH;02/09/2016;4;0,092;R;
ES0022000006459512WH;02/09/2016;5;0,091;R;
ES0022000006459512WH;02/09/2016;6;0,96;R;
ES0022000006459512WH;02/09/2016;7;0,796;R;
ES0022000006459512WH;02/09/2016;8;0,15;R;
ES0022000006459512WH;02/09/2016;9;0,096;R;
ES0022000006459512WH;02/09/2016;10;0,065;R;
ES0022000006459512WH;02/09/2016;11;0,034;R;
ES0022000006459512WH;02/09/2016;12;0,032;R;
ES0022000006459512WH;02/09/2016;13;0,034;R;
ES0022000006459512WH;02/09/2016;14;0,108;R;
ES0022000006459512WH;02/09/2016;15;0,1;R;
ES0022000006459512WH;02/09/2016;16;0,102;R;
ES0022000006459512WH;02/09/2016;17;0,106;R;
ES0022000006459512WH;02/09/2016;18;0,1;R;
ES0022000006459512WH;02/09/2016;19;0,128;R;
ES0022000006459512WH;02/09/2016;20;0,129;R;
ES0022000006459512WH;02/09/2016;21;0,137;R;
ES0022000006459512WH;02/09/2016;22;0,15;R;
ES0022000006459512WH;02/09/2016;23;0,164;R;
ES0022000006459512WH;02/09/2016;24;0,164;R;
ES0022000006459512WH;03/09/2016;1;0,169;R;
ES0022000006459512WH;03/09/2016;2;0,14;R;
ES0022000006459512WH;03/09/2016;3;0,122;R;
ES0022000006459512WH;03/09/2016;4;0,073;R;
ES0022000006459512WH;03/09/2016;5;0,025;R;
ES0022000006459512WH;03/09/2016;6;0,893;R;
ES0022000006459512WH;03/09/2016;7;0,176;R;
ES0022000006459512WH;03/09/2016;8;0,097;R;
ES0022000006459512WH;03/09/2016;9;0,104;R;
ES0022000006459512WH;03/09/2016;10;0,113;R;
ES0022000006459512WH;03/09/2016;11;0,14;R;
ES0022000006459512WH;03/09/2016;12;0,109;R;
ES0022000006459512WH;03/09/2016;13;0,071;R;
ES0022000006459512WH;03/09/2016;14;0,032;R;
ES0022000006459512WH;03/09/2016;15;0,032;R;
ES0022000006459512WH;03/09/2016;16;0,061;R;
ES0022000006459512WH;03/09/2016;17;0,103;R;
ES0022000006459512WH;03/09/2016;18;0,098;R;
ES0022000006459512WH;03/09/2016;19;0,097;R;
ES0022000006459512WH;03/09/2016;20;0,095;R;
ES0022000006459512WH;03/09/2016;21;0,096;R;
ES0022000006459512WH;03/09/2016;22;0,115;R;
ES0022000006459512WH;03/09/2016;23;0,102;R;
ES0022000006459512WH;03/09/2016;24;0,108;R;
ES0022000006459512WH;04/09/2016;1;0,262;E;
ES0022000006459512WH;04/09/2016;2;0,246;E;
ES0022000006459512WH;04/09/2016;3;0,234;E;
ES0022000006459512WH;04/09/2016;4;0,23;E;
ES0022000006459512WH;04/09/2016;5;0,226;E;
ES0022000006459512WH;04/09/2016;6;0,224;E;
ES0022000006459512WH;04/09/2016;7;0,226;E;
ES0022000006459512WH;04/09/2016;8;0,189;E;
ES0022000006459512WH;04/09/2016;9;0,098;E;
ES0022000006459512WH;04/09/2016;10;0,106;E;
ES0022000006459512WH;04/09/2016;11;0,121;E;
ES0022000006459512WH;04/09/2016;12;0,124;E;
ES0022000006459512WH;04/09/2016;13;0,122;E;
ES0022000006459512WH;04/09/2016;14;0,123;E;
ES0022000006459512WH;04/09/2016;15;0,123;E;
ES0022000006459512WH;04/09/2016;16;0,11;E;
ES0022000006459512WH;04/09/2016;17;0,103;E;
ES0022000006459512WH;04/09/2016;18;0,101;E;
ES0022000006459512WH;04/09/2016;19;0,103;E;
ES0022000006459512WH;04/09/2016;20;0,11;E;
ES0022000006459512WH;04/09/2016;21;0,213;E;
ES0022000006459512WH;04/09/2016;22;0,291;E;
ES0022000006459512WH;04/09/2016;23;0,283;E;
ES0022000006459512WH;04/09/2016;24;0,274;E;
ES0022000006459512WH;05/09/2016;1;0,25;E;
ES0022000006459512WH;05/09/2016;2;0,232;E;
ES0022000006459512WH;05/09/2016;3;0,222;E;
ES0022000006459512WH;05/09/2016;4;0,22;E;
ES0022000006459512WH;05/09/2016;5;0,217;E;
ES0022000006459512WH;05/09/2016;6;0,216;E;
ES0022000006459512WH;05/09/2016;7;0,223;E;
ES0022000006459512WH;05/09/2016;8;0,199;E;
ES0022000006459512WH;05/09/2016;9;0,123;E;
ES0022000006459512WH;05/09/2016;10;0,122;E;
ES0022000006459512WH;05/09/2016;11;0,127;E;
ES0022000006459512WH;05/09/2016;12;0,126;E;
ES0022000006459512WH;05/09/2016;13;0,125;E;
ES0022000006459512WH;05/09/2016;14;0,126;E;
ES0022000006459512WH;05/09/2016;15;0,124;E;
ES0022000006459512WH;05/09/2016;16;0,116;E;
ES0022000006459512WH;05/09/2016;17;0,11;E;
ES0022000006459512WH;05/09/2016;18;0,111;E;
ES0022000006459512WH;05/09/2016;19;0,112;E;
ES0022000006459512WH;05/09/2016;20;0,117;E;
ES0022000006459512WH;05/09/2016;21;0,205;E;
ES0022000006459512WH;05/09/2016;22;0,288;E;
ES0022000006459512WH;05/09/2016;23;0,281;E;
ES0022000006459512WH;05/09/2016;24;0,27;E;
ES0022000006459512WH;06/09/2016;1;0,253;E;
ES0022000006459512WH;06/09/2016;2;0,236;E;
ES0022000006459512WH;06/09/2016;3;0,226;E;
ES0022000006459512WH;06/09/2016;4;0,224;E;
ES0022000006459512WH;06/09/2016;5;0,221;E;
ES0022000006459512WH;06/09/2016;6;0,22;E;
ES0022000006459512WH;06/09/2016;7;0,228;E;
ES0022000006459512WH;06/09/2016;8;0,202;E;
ES0022000006459512WH;06/09/2016;9;0,126;E;
ES0022000006459512WH;06/09/2016;10;0,126;E;
ES0022000006459512WH;06/09/2016;11;0,129;E;
ES0022000006459512WH;06/09/2016;12;0,127;E;
ES0022000006459512WH;06/09/2016;13;0,127;E;
ES0022000006459512WH;06/09/2016;14;0,129;E;
ES0022000006459512WH;06/09/2016;15;0,127;E;
ES0022000006459512WH;06/09/2016;16;0,118;E;
ES0022000006459512WH;06/09/2016;17;0,113;E;
ES0022000006459512WH;06/09/2016;18;0,114;E;
ES0022000006459512WH;06/09/2016;19;0,114;E;
ES0022000006459512WH;06/09/2016;20;0,119;E;
ES0022000006459512WH;06/09/2016;21;0,208;E;
ES0022000006459512WH;06/09/2016;22;0,293;E;
ES0022000006459512WH;06/09/2016;23;0,285;E;
ES0022000006459512WH;06/09/2016;24;0,275;E;
ES0022000006459512WH;07/09/2016;1;0,254;E;
ES0022000006459512WH;07/09/2016;2;0,236;E;
ES0022000006459512WH;07/09/2016;3;0,227;E;
ES0022000006459512WH;07/09/2016;4;0,224;E;
ES0022000006459512WH;07/09/2016;5;0,222;E;
ES0022000006459512WH;07/09/2016;6;0,22;E;
ES0022000006459512WH;07/09/2016;7;0,228;E;
ES0022000006459512WH;07/09/2016;8;0,203;E;
ES0022000006459512WH;07/09/2016;9;0,127;E;
ES0022000006459512WH;07/09/2016;10;0,126;E;
ES0022000006459512WH;07/09/2016;11;0,129;E;
ES0022000006459512WH;07/09/2016;12;0,127;E;
ES0022000006459512WH;07/09/2016;13;0,127;E;
ES0022000006459512WH;07/09/2016;14;0,13;E;
ES0022000006459512WH;07/09/2016;15;0,127;E;
ES0022000006459512WH;07/09/2016;16;0,118;E;
ES0022000006459512WH;07/09/2016;17;0,113;E;
ES0022000006459512WH;07/09/2016;18;0,114;E;
ES0022000006459512WH;07/09/2016;19;0,114;E;
ES0022000006459512WH;07/09/2016;20;0,119;E;
ES0022000006459512WH;07/09/2016;21;0,209;E;
ES0022000006459512WH;07/09/2016;22;0,294;E;
ES0022000006459512WH;07/09/2016;23;0,286;E;
ES0022000006459512WH;07/09/2016;24;0,276;E;
ES0022000006459512WH;08/09/2016;1;0,254;E;
ES0022000006459512WH;08/09/2016;2;0,236;E;
ES0022000006459512WH;08/09/2016;3;0,227;E;
ES0022000006459512WH;08/09/2016;4;0,224;E;
ES0022000006459512WH;08/09/2016;5;0,222;E;
ES0022000006459512WH;08/09/2016;6;0,22;E;
ES0022000006459512WH;08/09/2016;7;0,228;E;
ES0022000006459512WH;08/09/2016;8;0,203;E;
ES0022000006459512WH;08/09/2016;9;0,127;E;
ES0022000006459512WH;08/09/2016;10;0,126;E;
ES0022000006459512WH;08/09/2016;11;0,129;E;
ES0022000006459512WH;08/09/2016;12;0,127;E;
ES0022000006459512WH;08/09/2016;13;0,127;E;
ES0022000006459512WH;08/09/2016;14;0,129;E;
ES0022000006459512WH;08/09/2016;15;0,127;E;
ES0022000006459512WH;08/09/2016;16;0,118;E;
ES0022000006459512WH;08/09/2016;17;0,113;E;
ES0022000006459512WH;08/09/2016;18;0,114;E;
ES0022000006459512WH;08/09/2016;19;0,114;E;
ES0022000006459512WH;08/09/2016;20;0,119;E;
ES0022000006459512WH;08/09/2016;21;0,209;E;
ES0022000006459512WH;08/09/2016;22;0,294;E;
ES0022000006459512WH;08/09/2016;23;0,286;E;
ES0022000006459512WH;08/09/2016;24;0,275;E;
ES0022000006459512WH;09/09/2016;1;0,258;E;
ES0022000006459512WH;09/09/2016;2;0,24;E;
ES0022000006459512WH;09/09/2016;3;0,23;E;
ES0022000006459512WH;09/09/2016;4;0,228;E;
ES0022000006459512WH;09/09/2016;5;0,225;E;
ES0022000006459512WH;09/09/2016;6;0,223;E;
ES0022000006459512WH;09/09/2016;7;0,23;E;
ES0022000006459512WH;09/09/2016;8;0,205;E;
ES0022000006459512WH;09/09/2016;9;0,126;E;
ES0022000006459512WH;09/09/2016;10;0,125;E;
ES0022000006459512WH;09/09/2016;11;0,129;E;
ES0022000006459512WH;09/09/2016;12;0,127;E;
ES0022000006459512WH;09/09/2016;13;0,125;E;
ES0022000006459512WH;09/09/2016;14;0,13;E;
ES0022000006459512WH;09/09/2016;15;0,128;E;
ES0022000006459512WH;09/09/2016;16;0,118;E;
ES0022000006459512WH;09/09/2016;17;0,112;E;
ES0022000006459512WH;09/09/2016;18;0,113;E;
ES0022000006459512WH;09/09/2016;19;0,114;E;
ES0022000006459512WH;09/09/2016;20;0,117;E;
ES0022000006459512WH;09/09/2016;21;0,208;E;
ES0022000006459512WH;09/09/2016;22;0,292;E;
ES0022000006459512WH;09/09/2016;23;0,286;E;
ES0022000006459512WH;09/09/2016;24;0,279;E;
ES0022000006459512WH;10/09/2016;1;0,26;E;
ES0022000006459512WH;10/09/2016;2;0,244;E;
ES0022000006459512WH;10/09/2016;3;0,233;E;
ES0022000006459512WH;10/09/2016;4;0,229;E;
ES0022000006459512WH;10/09/2016;5;0,225;E;
ES0022000006459512WH;10/09/2016;6;0,223;E;
ES0022000006459512WH;10/09/2016;7;0,226;E;
ES0022000006459512WH;10/09/2016;8;0,19;E;
ES0022000006459512WH;10/09/2016;9;0,104;E;
ES0022000006459512WH;10/09/2016;10;0,115;E;
ES0022000006459512WH;10/09/2016;11;0,127;E;
ES0022000006459512WH;10/09/2016;12;0,126;E;
ES0022000006459512WH;10/09/2016;13;0,122;E;
ES0022000006459512WH;10/09/2016;14;0,124;E;
ES0022000006459512WH;10/09/2016;15;0,122;E;
ES0022000006459512WH;10/09/2016;16;0,113;E;
ES0022000006459512WH;10/09/2016;17;0,106;E;
ES0022000006459512WH;10/09/2016;18;0,105;E;
ES0022000006459512WH;10/09/2016;19;0,106;E;
ES0022000006459512WH;10/09/2016;20;0,111;E;
ES0022000006459512WH;10/09/2016;21;0,203;E;
ES0022000006459512WH;10/09/2016;22;0,282;E;
ES0022000006459512WH;10/09/2016;23;0,278;E;
ES0022000006459512WH;10/09/2016;24;0,272;E;
ES0022000006459512WH;11/09/2016;1;0,255;E;
ES0022000006459512WH;11/09/2016;2;0,24;E;
ES0022000006459512WH;11/09/2016;3;0,229;E;
ES0022000006459512WH;11/09/2016;4;0,224;E;
ES0022000006459512WH;11/09/2016;5;0,221;E;
ES0022000006459512WH;11/09/2016;6;0,219;E;
ES0022000006459512WH;11/09/2016;7;0,22;E;
ES0022000006459512WH;11/09/2016;8;0,185;E;
ES0022000006459512WH;11/09/2016;9;0,096;E;
ES0022000006459512WH;11/09/2016;10;0,104;E;
ES0022000006459512WH;11/09/2016;11;0,118;E;
ES0022000006459512WH;11/09/2016;12;0,121;E;
ES0022000006459512WH;11/09/2016;13;0,119;E;
ES0022000006459512WH;11/09/2016;14;0,12;E;
ES0022000006459512WH;11/09/2016;15;0,12;E;
ES0022000006459512WH;11/09/2016;16;0,107;E;
ES0022000006459512WH;11/09/2016;17;0,101;E;
ES0022000006459512WH;11/09/2016;18;0,098;E;
ES0022000006459512WH;11/09/2016;19;0,1;E;
ES0022000006459512WH;11/09/2016;20;0,108;E;
ES0022000006459512WH;11/09/2016;21;0,208;E;
ES0022000006459512WH;11/09/2016;22;0,284;E;
ES0022000006459512WH;11/09/2016;23;0,276;E;
ES0022000006459512WH;11/09/2016;24;0,267;E;
ES0022000006459512WH;12/09/2016;1;0,247;E;
ES0022000006459512WH;12/09/2016;2;0,23;E;
ES0022000006459512WH;12/09/2016;3;0,22;E;
ES0022000006459512WH;12/09/2016;4;0,218;E;
ES0022000006459512WH;12/09/2016;5;0,215;E;
ES0022000006459512WH;12/09/2016;6;0,213;E;
ES0022000006459512WH;12/09/2016;7;0,221;E;
ES0022000006459512WH;12/09/2016;8;0,197;E;
ES0022000006459512WH;12/09/2016;9;0,122;E;
ES0022000006459512WH;12/09/2016;10;0,121;E;
ES0022000006459512WH;12/09/2016;11;0,126;E;
ES0022000006459512WH;12/09/2016;12;0,125;E;
ES0022000006459512WH;12/09/2016;13;0,123;E;
ES0022000006459512WH;12/09/2016;14;0,125;E;
ES0022000006459512WH;12/09/2016;15;0,123;E;
ES0022000006459512WH;12/09/2016;16;0,114;E;
ES0022000006459512WH;12/09/2016;17;0,109;E;
ES0022000006459512WH;12/09/2016;18;0,11;E;
ES0022000006459512WH;12/09/2016;19;0,111;E;
ES0022000006459512WH;12/09/2016;20;0,116;E;
ES0022000006459512WH;12/09/2016;21;0,204;E;
ES0022000006459512WH;12/09/2016;22;0,285;E;
ES0022000006459512WH;12/09/2016;23;0,278;E;
ES0022000006459512WH;12/09/2016;24;0,267;E;
ES0022000006459512WH;13/09/2016;1;0,251;E;
ES0022000006459512WH;13/09/2016;2;0,234;E;
ES0022000006459512WH;13/09/2016;3;0,225;E;
ES0022000006459512WH;13/09/2016;4;0,222;E;
ES0022000006459512WH;13/09/2016;5;0,22;E;
ES0022000006459512WH;13/09/2016;6;0,219;E;
ES0022000006459512WH;13/09/2016;7;0,226;E;
ES0022000006459512WH;13/09/2016;8;0,201;E;
ES0022000006459512WH;13/09/2016;9;0,126;E;
ES0022000006459512WH;13/09/2016;10;0,125;E;
ES0022000006459512WH;13/09/2016;11;0,129;E;
ES0022000006459512WH;13/09/2016;12;0,126;E;
ES0022000006459512WH;13/09/2016;13;0,126;E;
ES0022000006459512WH;13/09/2016;14;0,129;E;
ES0022000006459512WH;13/09/2016;15;0,126;E;
ES0022000006459512WH;13/09/2016;16;0,117;E;
ES0022000006459512WH;13/09/2016;17;0,112;E;
ES0022000006459512WH;13/09/2016;18;0,113;E;
ES0022000006459512WH;13/09/2016;19;0,114;E;
ES0022000006459512WH;13/09/2016;20;0,118;E;
ES0022000006459512WH;13/09/2016;21;0,208;E;
ES0022000006459512WH;13/09/2016;22;0,292;E;
ES0022000006459512WH;13/09/2016;23;0,284;E;
ES0022000006459512WH;13/09/2016;24;0,273;E;
ES0022000006459512WH;14/09/2016;1;0,252;E;
ES0022000006459512WH;14/09/2016;2;0,235;E;
ES0022000006459512WH;14/09/2016;3;0,225;E;
ES0022000006459512WH;14/09/2016;4;0,223;E;
ES0022000006459512WH;14/09/2016;5;0,22;E;
ES0022000006459512WH;14/09/2016;6;0,219;E;
ES0022000006459512WH;14/09/2016;7;0,227;E;
ES0022000006459512WH;14/09/2016;8;0,202;E;
ES0022000006459512WH;14/09/2016;9;0,126;E;
ES0022000006459512WH;14/09/2016;10;0,125;E;
ES0022000006459512WH;14/09/2016;11;0,129;E;
ES0022000006459512WH;14/09/2016;12;0,126;E;
ES0022000006459512WH;14/09/2016;13;0,126;E;
ES0022000006459512WH;14/09/2016;14;0,129;E;
ES0022000006459512WH;14/09/2016;15;0,126;E;
ES0022000006459512WH;14/09/2016;16;0,117;E;
ES0022000006459512WH;14/09/2016;17;0,112;E;
ES0022000006459512WH;14/09/2016;18;0,113;E;
ES0022000006459512WH;14/09/2016;19;0,114;E;
ES0022000006459512WH;14/09/2016;20;0,118;E;
ES0022000006459512WH;14/09/2016;21;0,208;E;
ES0022000006459512WH;14/09/2016;22;0,293;E;
ES0022000006459512WH;14/09/2016;23;0,284;E;
ES0022000006459512WH;14/09/2016;24;0,273;E;
ES0022000006459512WH;15/09/2016;1;0,252;E;
ES0022000006459512WH;15/09/2016;2;0,235;E;
ES0022000006459512WH;15/09/2016;3;0,225;E;
ES0022000006459512WH;15/09/2016;4;0,223;E;
ES0022000006459512WH;15/09/2016;5;0,22;E;
ES0022000006459512WH;15/09/2016;6;0,219;E;
ES0022000006459512WH;15/09/2016;7;0,227;E;
ES0022000006459512WH;15/09/2016;8;0,202;E;
ES0022000006459512WH;15/09/2016;9;0,126;E;
ES0022000006459512WH;15/09/2016;10;0,125;E;
ES0022000006459512WH;15/09/2016;11;0,129;E;
ES0022000006459512WH;15/09/2016;12;0,126;E;
ES0022000006459512WH;15/09/2016;13;0,126;E;
ES0022000006459512WH;15/09/2016;14;0,129;E;
ES0022000006459512WH;15/09/2016;15;0,126;E;
ES0022000006459512WH;15/09/2016;16;0,117;E;
ES0022000006459512WH;15/09/2016;17;0,112;E;
ES0022000006459512WH;15/09/2016;18;0,113;E;
ES0022000006459512WH;15/09/2016;19;0,114;E;
ES0022000006459512WH;15/09/2016;20;0,118;E;
ES0022000006459512WH;15/09/2016;21;0,208;E;
ES0022000006459512WH;15/09/2016;22;0,292;E;
ES0022000006459512WH;15/09/2016;23;0,284;E;
ES0022000006459512WH;15/09/2016;24;0,273;E;
ES0022000006459512WH;16/09/2016;1;0,035;R;
ES0022000006459512WH;16/09/2016;2;0,035;R;
ES0022000006459512WH;16/09/2016;3;0,09;R;
ES0022000006459512WH;16/09/2016;4;0,102;R;
ES0022000006459512WH;16/09/2016;5;0,093;R;
ES0022000006459512WH;16/09/2016;6;1,033;R;
ES0022000006459512WH;16/09/2016;7;1,099;R;
ES0022000006459512WH;16/09/2016;8;0,087;R;
ES0022000006459512WH;16/09/2016;9;0,038;R;
ES0022000006459512WH;16/09/2016;10;0,071;R;
ES0022000006459512WH;16/09/2016;11;0,102;R;
ES0022000006459512WH;16/09/2016;12;0,098;R;
ES0022000006459512WH;16/09/2016;13;0,067;R;
ES0022000006459512WH;16/09/2016;14;0,033;R;
ES0022000006459512WH;16/09/2016;15;0,033;R;
ES0022000006459512WH;16/09/2016;16;0,032;R;
ES0022000006459512WH;16/09/2016;17;0,089;R;
ES0022000006459512WH;16/09/2016;18;0,102;R;
ES0022000006459512WH;16/09/2016;19;0,103;R;
ES0022000006459512WH;16/09/2016;20;0,076;R;
ES0022000006459512WH;16/09/2016;21;0,093;R;
ES0022000006459512WH;16/09/2016;22;0,167;R;
ES0022000006459512WH;16/09/2016;23;0,168;R;
ES0022000006459512WH;16/09/2016;24;0,108;R;
ES0022000006459512WH;17/09/2016;1;0,104;R;
ES0022000006459512WH;17/09/2016;2;0,101;R;
ES0022000006459512WH;17/09/2016;3;0,068;R;
ES0022000006459512WH;17/09/2016;4;0,03;R;
ES0022000006459512WH;17/09/2016;5;0,03;R;
ES0022000006459512WH;17/09/2016;6;0,999;R;
ES0022000006459512WH;17/09/2016;7;0,64;R;
ES0022000006459512WH;17/09/2016;8;0,093;R;
ES0022000006459512WH;17/09/2016;9;0,09;R;
ES0022000006459512WH;17/09/2016;10;0,156;R;
ES0022000006459512WH;17/09/2016;11;0,038;R;
ES0022000006459512WH;17/09/2016;12;0,032;R;
ES0022000006459512WH;17/09/2016;13;0,598;R;
ES0022000006459512WH;17/09/2016;14;0,481;R;
ES0022000006459512WH;17/09/2016;15;0,858;R;
ES0022000006459512WH;17/09/2016;16;0,546;R;
ES0022000006459512WH;17/09/2016;17;0,293;R;
ES0022000006459512WH;17/09/2016;18;0,12;R;
ES0022000006459512WH;17/09/2016;19;0,071;R;
ES0022000006459512WH;17/09/2016;20;0,094;R;
ES0022000006459512WH;17/09/2016;21;0,158;R;
ES0022000006459512WH;17/09/2016;22;0,271;R;
ES0022000006459512WH;17/09/2016;23;0,209;R;
ES0022000006459512WH;17/09/2016;24;0,134;R;
ES0022000006459512WH;18/09/2016;1;0,099;R;
ES0022000006459512WH;18/09/2016;2;0,051;R;
ES0022000006459512WH;18/09/2016;3;0,048;R;
ES0022000006459512WH;18/09/2016;4;0,098;R;
ES0022000006459512WH;18/09/2016;5;0,092;R;
ES0022000006459512WH;18/09/2016;6;0,659;R;
ES0022000006459512WH;18/09/2016;7;0,063;R;
ES0022000006459512WH;18/09/2016;8;0,025;R;
ES0022000006459512WH;18/09/2016;9;0,025;R;
ES0022000006459512WH;18/09/2016;10;0,026;R;
ES0022000006459512WH;18/09/2016;11;0,156;R;
ES0022000006459512WH;18/09/2016;12;0,18;R;
ES0022000006459512WH;18/09/2016;13;0,192;R;
ES0022000006459512WH;18/09/2016;14;0,175;R;
ES0022000006459512WH;18/09/2016;15;0,421;R;
ES0022000006459512WH;18/09/2016;16;0,149;R;
