CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;10/07/2016;22;0,127;E;
ES0022000006459512WH;10/07/2016;23;0,204;E;
ES0022000006459512WH;10/07/2016;24;0,237;E;
ES0022000006459512WH;11/07/2016;1;0,228;E;
ES0022000006459512WH;11/07/2016;2;0,212;E;
ES0022000006459512WH;11/07/2016;3;0,201;E;
ES0022000006459512WH;11/07/2016;4;0,197;E;
ES0022000006459512WH;11/07/2016;5;0,194;E;
ES0022000006459512WH;11/07/2016;6;0,192;E;
ES0022000006459512WH;11/07/2016;7;0,172;E;
ES0022000006459512WH;11/07/2016;8;0,093;E;
ES0022000006459512WH;11/07/2016;9;0,099;E;
ES0022000006459512WH;11/07/2016;10;0,107;E;
ES0022000006459512WH;11/07/2016;11;0,112;E;
ES0022000006459512WH;11/07/2016;12;0,112;E;
ES0022000006459512WH;11/07/2016;13;0,113;E;
ES0022000006459512WH;11/07/2016;14;0,1;E;
ES0022000006459512WH;11/07/2016;15;0,101;E;
ES0022000006459512WH;11/07/2016;16;0,096;E;
ES0022000006459512WH;11/07/2016;17;0,093;E;
ES0022000006459512WH;11/07/2016;18;0,093;E;
ES0022000006459512WH;11/07/2016;19;0,092;E;
ES0022000006459512WH;11/07/2016;20;0,091;E;
ES0022000006459512WH;11/07/2016;21;0,094;E;
ES0022000006459512WH;11/07/2016;22;0,137;E;
ES0022000006459512WH;11/07/2016;23;0,214;E;
ES0022000006459512WH;11/07/2016;24;0,246;E;
ES0022000006459512WH;12/07/2016;1;0,229;E;
ES0022000006459512WH;12/07/2016;2;0,214;E;
ES0022000006459512WH;12/07/2016;3;0,202;E;
ES0022000006459512WH;12/07/2016;4;0,198;E;
ES0022000006459512WH;12/07/2016;5;0,196;E;
ES0022000006459512WH;12/07/2016;6;0,194;E;
ES0022000006459512WH;12/07/2016;7;0,171;E;
ES0022000006459512WH;12/07/2016;8;0,095;E;
ES0022000006459512WH;12/07/2016;9;0,1;E;
ES0022000006459512WH;12/07/2016;10;0,108;E;
ES0022000006459512WH;12/07/2016;11;0,112;E;
ES0022000006459512WH;12/07/2016;12;0,112;E;
ES0022000006459512WH;12/07/2016;13;0,113;E;
ES0022000006459512WH;12/07/2016;14;0,101;E;
ES0022000006459512WH;12/07/2016;15;0,101;E;
ES0022000006459512WH;12/07/2016;16;0,096;E;
ES0022000006459512WH;12/07/2016;17;0,093;E;
ES0022000006459512WH;12/07/2016;18;0,093;E;
ES0022000006459512WH;12/07/2016;19;0,092;E;
ES0022000006459512WH;12/07/2016;20;0,092;E;
ES0022000006459512WH;12/07/2016;21;0,095;E;
ES0022000006459512WH;12/07/2016;22;0,137;E;
ES0022000006459512WH;12/07/2016;23;0,214;E;
ES0022000006459512WH;12/07/2016;24;0,247;E;
ES0022000006459512WH;13/07/2016;1;0,23;E;
ES0022000006459512WH;13/07/2016;2;0,214;E;
ES0022000006459512WH;13/07/2016;3;0,203;E;
ES0022000006459512WH;13/07/2016;4;0,199;E;
ES0022000006459512WH;13/07/2016;5;0,196;E;
ES0022000006459512WH;13/07/2016;6;0,194;E;
ES0022000006459512WH;13/07/2016;7;0,172;E;
ES0022000006459512WH;13/07/2016;8;0,095;E;
ES0022000006459512WH;13/07/2016;9;0,1;E;
ES0022000006459512WH;13/07/2016;10;0,108;E;
ES0022000006459512WH;13/07/2016;11;0,113;E;
ES0022000006459512WH;13/07/2016;12;0,113;E;
ES0022000006459512WH;13/07/2016;13;0,114;E;
ES0022000006459512WH;13/07/2016;14;0,101;E;
ES0022000006459512WH;13/07/2016;15;0,101;E;
ES0022000006459512WH;13/07/2016;16;0,097;E;
ES0022000006459512WH;13/07/2016;17;0,094;E;
ES0022000006459512WH;13/07/2016;18;0,093;E;
ES0022000006459512WH;13/07/2016;19;0,093;E;
ES0022000006459512WH;13/07/2016;20;0,092;E;
ES0022000006459512WH;13/07/2016;21;0,095;E;
ES0022000006459512WH;13/07/2016;22;0,138;E;
ES0022000006459512WH;13/07/2016;23;0,215;E;
ES0022000006459512WH;13/07/2016;24;0,247;E;
ES0022000006459512WH;14/07/2016;1;0,23;E;
ES0022000006459512WH;14/07/2016;2;0,215;E;
ES0022000006459512WH;14/07/2016;3;0,203;E;
ES0022000006459512WH;14/07/2016;4;0,199;E;
ES0022000006459512WH;14/07/2016;5;0,197;E;
ES0022000006459512WH;14/07/2016;6;0,195;E;
ES0022000006459512WH;14/07/2016;7;0,172;E;
ES0022000006459512WH;14/07/2016;8;0,095;E;
ES0022000006459512WH;14/07/2016;9;0,1;E;
ES0022000006459512WH;14/07/2016;10;0,109;E;
ES0022000006459512WH;14/07/2016;11;0,113;E;
ES0022000006459512WH;14/07/2016;12;0,113;E;
ES0022000006459512WH;14/07/2016;13;0,114;E;
ES0022000006459512WH;14/07/2016;14;0,101;E;
ES0022000006459512WH;14/07/2016;15;0,102;E;
ES0022000006459512WH;14/07/2016;16;0,097;E;
ES0022000006459512WH;14/07/2016;17;0,094;E;
ES0022000006459512WH;14/07/2016;18;0,094;E;
ES0022000006459512WH;14/07/2016;19;0,093;E;
ES0022000006459512WH;14/07/2016;20;0,092;E;
ES0022000006459512WH;14/07/2016;21;0,095;E;
ES0022000006459512WH;14/07/2016;22;0,138;E;
ES0022000006459512WH;14/07/2016;23;0,215;E;
ES0022000006459512WH;14/07/2016;24;0,248;E;
ES0022000006459512WH;15/07/2016;1;0,095;R;
ES0022000006459512WH;15/07/2016;2;0,029;R;
ES0022000006459512WH;15/07/2016;3;0,091;R;
